frame,sim_t,state,yellow_frac,n_raw,n_filt,cx,err,steer,nolf,lidar,n_obj,top_model,top_color,top_area,top_px,bus_str
94,0.95,LINE_FOLLOW,0.034,2,2,98.5,-0.015,-0.0044,0,58.31,20,road,RGB(0.200,0.200,0.200),8001,64,0
95,0.96,LINE_FOLLOW,0.034,2,2,98.5,-0.015,-0.0044,0,58.27,20,road,RGB(0.200,0.200,0.200),8001,64,0
96,0.97,LINE_FOLLOW,0.034,2,2,98.5,-0.015,-0.0044,0,58.24,20,road,RGB(0.200,0.200,0.200),8001,64,0
97,0.98,LINE_FOLLOW,0.034,2,2,98.5,-0.015,-0.0044,0,58.20,20,road,RGB(0.200,0.200,0.200),8001,64,0
98,0.99,LINE_FOLLOW,0.034,2,2,98.8,-0.013,-0.0015,0,58.16,20,road,RGB(0.200,0.200,0.200),8001,64,0
99,1.00,LINE_FOLLOW,0.034,2,2,98.5,-0.015,-0.0058,0,58.12,20,road,RGB(0.200,0.200,0.200),8001,64,0
100,1.01,LINE_FOLLOW,0.034,2,2,98.5,-0.015,-0.0044,0,58.07,20,road,RGB(0.200,0.200,0.200),8001,64,0
101,1.02,LINE_FOLLOW,0.034,2,2,98.5,-0.015,-0.0044,0,58.03,20,road,RGB(0.200,0.200,0.200),8001,64,0
102,1.03,LINE_FOLLOW,0.034,2,2,98.5,-0.015,-0.0044,0,57.99,20,road,RGB(0.200,0.200,0.200),8001,64,0
103,1.04,LINE_FOLLOW,0.034,2,2,98.8,-0.013,-0.0030,0,57.95,20,road,RGB(0.200,0.200,0.200),8001,64,0
104,1.05,LINE_FOLLOW,0.035,2,2,98.8,-0.013,-0.0037,0,57.91,20,road,RGB(0.200,0.200,0.200),8001,64,0
105,1.06,LINE_FOLLOW,0.035,2,2,98.8,-0.013,-0.0037,0,57.87,20,road,RGB(0.200,0.200,0.200),8001,64,0
106,1.07,LINE_FOLLOW,0.034,3,3,100.5,0.005,0.0253,0,57.82,20,road,RGB(0.200,0.200,0.200),8001,64,0
107,1.08,LINE_FOLLOW,0.034,3,3,100.5,0.005,0.0012,0,57.78,20,road,RGB(0.200,0.200,0.200),8001,64,0
108,1.09,LINE_FOLLOW,0.034,3,3,100.5,0.005,0.0012,0,57.73,20,road,RGB(0.200,0.200,0.200),8001,64,0
109,1.10,LINE_FOLLOW,0.034,3,3,100.5,0.005,0.0012,0,57.69,20,road,RGB(0.200,0.200,0.200),8001,64,0
110,1.11,LINE_FOLLOW,0.034,3,3,100.5,0.005,0.0012,0,57.64,20,road,RGB(0.200,0.200,0.200),8001,64,0
111,1.12,LINE_FOLLOW,0.034,3,3,100.5,0.005,0.0012,0,57.60,20,road,RGB(0.200,0.200,0.200),8001,64,0
112,1.13,LINE_FOLLOW,0.035,3,3,100.4,0.004,-0.0007,0,57.55,20,road,RGB(0.200,0.200,0.200),8001,64,0
113,1.14,LINE_FOLLOW,0.034,3,3,100.5,0.005,0.0026,0,57.50,20,road,RGB(0.200,0.200,0.200),8001,64,0
114,1.15,LINE_FOLLOW,0.034,3,3,100.5,0.005,0.0012,0,57.46,20,road,RGB(0.200,0.200,0.200),8001,64,0
115,1.16,LINE_FOLLOW,0.034,3,3,100.4,0.004,-0.0012,0,57.46,21,road,RGB(0.200,0.200,0.200),8001,64,0
116,1.17,LINE_FOLLOW,0.034,3,3,100.4,0.004,0.0009,0,57.47,21,road,RGB(0.200,0.200,0.200),8001,64,0
117,1.18,LINE_FOLLOW,0.034,3,3,100.5,0.005,0.0028,0,57.48,21,road,RGB(0.200,0.200,0.200),8001,64,0
118,1.19,LINE_FOLLOW,0.034,3,3,100.5,0.005,0.0012,0,57.49,21,road,RGB(0.200,0.200,0.200),8001,64,0
119,1.20,LINE_FOLLOW,0.034,2,2,98.8,-0.013,-0.0211,0,48.68,21,road,RGB(0.200,0.200,0.200),8001,64,0
120,1.21,LINE_FOLLOW,0.034,3,3,100.6,0.006,0.0089,0,48.62,21,road,RGB(0.200,0.200,0.200),8001,64,0
121,1.22,LINE_FOLLOW,0.034,2,2,98.8,-0.013,-0.0211,0,48.57,21,road,RGB(0.200,0.200,0.200),8001,64,0
122,1.23,LINE_FOLLOW,0.034,2,2,99.0,-0.010,0.0018,0,48.52,21,road,RGB(0.200,0.200,0.200),8001,64,0
123,1.24,LINE_FOLLOW,0.034,2,2,99.0,-0.010,-0.0030,0,48.48,21,road,RGB(0.200,0.200,0.200),8001,64,0
124,1.25,LINE_FOLLOW,0.034,2,2,99.0,-0.010,-0.0030,0,48.44,21,road,RGB(0.200,0.200,0.200),8001,64,0
125,1.26,LINE_FOLLOW,0.034,2,2,98.8,-0.013,-0.0062,0,57.25,20,road,RGB(0.200,0.200,0.200),8001,64,0
126,1.27,LINE_FOLLOW,0.034,2,2,98.8,-0.013,-0.0037,0,57.20,21,road,RGB(0.200,0.200,0.200),8001,64,0
127,1.28,LINE_FOLLOW,0.034,2,2,98.8,-0.013,-0.0037,0,39.58,21,road,RGB(0.200,0.200,0.200),8001,64,0
128,1.29,LINE_FOLLOW,0.034,2,2,98.8,-0.013,-0.0037,0,39.53,21,road,RGB(0.200,0.200,0.200),8001,64,0
129,1.30,LINE_FOLLOW,0.034,2,2,98.8,-0.013,-0.0037,0,39.48,21,road,RGB(0.200,0.200,0.200),8001,64,0
130,1.31,LINE_FOLLOW,0.034,2,2,98.8,-0.013,-0.0037,0,39.44,22,road,RGB(0.200,0.200,0.200),8001,64,0
131,1.32,LINE_FOLLOW,0.034,2,2,99.0,-0.010,-0.0003,0,56.94,23,road,RGB(0.200,0.200,0.200),8001,64,0
132,1.33,LINE_FOLLOW,0.034,2,2,99.0,-0.010,-0.0030,0,56.88,23,road,RGB(0.200,0.200,0.200),8001,64,0
133,1.34,LINE_FOLLOW,0.035,2,2,99.0,-0.010,-0.0030,0,56.83,23,road,RGB(0.200,0.200,0.200),8001,64,0
134,1.35,LINE_FOLLOW,0.035,2,2,99.0,-0.010,-0.0030,0,56.77,23,road,RGB(0.200,0.200,0.200),8001,64,0
135,1.36,LINE_FOLLOW,0.035,2,2,98.5,-0.015,-0.0111,0,56.72,23,road,RGB(0.200,0.200,0.200),8001,64,0
136,1.37,LINE_FOLLOW,0.035,2,2,98.5,-0.015,-0.0044,0,56.66,23,road,RGB(0.200,0.200,0.200),8001,64,0
137,1.38,LINE_FOLLOW,0.034,2,2,98.8,-0.013,-0.0015,0,56.60,23,road,RGB(0.200,0.200,0.200),8001,64,0
138,1.39,LINE_FOLLOW,0.035,2,2,99.0,-0.010,-0.0009,0,56.55,23,road,RGB(0.200,0.200,0.200),8001,64,0
139,1.40,LINE_FOLLOW,0.035,2,2,99.0,-0.010,-0.0030,0,56.49,23,road,RGB(0.200,0.200,0.200),8001,64,0
140,1.41,LINE_FOLLOW,0.035,2,2,99.0,-0.010,-0.0030,0,56.43,25,road,RGB(0.200,0.200,0.200),8001,64,0
141,1.42,LINE_FOLLOW,0.035,2,2,99.0,-0.010,-0.0030,0,56.37,25,road,RGB(0.200,0.200,0.200),8001,64,0
